zip_code,city,state,region_id,msa_name,median_home_value,median_rent,days_pending,price_cuts_percent,market_heat,price_to_rent
02050,MARSHFIELD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02051,MARSHFIELD HILLS,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02052,MEDFIELD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02053,MEDWAY,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02054,MILLIS,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02056,NORFOLK,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02060,NORTH SCITUATE,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02061,NORWELL,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02062,NORWOOD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02065,OCEAN BLUFF,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02066,SCITUATE,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02067,SHARON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02071,SOUTH WALPOLE,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02072,STOUGHTON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
